Sample,Isotope,Evaluation,g / g Uinit
87-72,Eu-151,ENDF VII.1,9.54E-07
87-72,Eu-152,ENDF VII.1,6.37E-09
87-72,Eu-153,ENDF VII.1,1.27E-04
87-72,Eu-154,ENDF VII.1,9.48E-06
87-72,Eu-155,ENDF VII.1,1.46E-06
87-72,Gd-154,ENDF VII.1,2.12E-05
87-72,Gd-155,ENDF VII.1,7.99E-06
87-72,Gd-156,ENDF VII.1,1.05E-04
87-72,Gd-158,ENDF VII.1,1.97E-05
87-72,Gd-160,ENDF VII.1,1.26E-06
87-72,Tc-99,ENDF VII.1,8.86E-04
87-72,Sr-90,ENDF VII.1,4.91E-04
87-72,U-234,ENDF VII.0 + mod-Wright,1.57E-04
87-72,U-235,ENDF VII.0 + mod-Wright,5.90E-03
87-72,U-236,ENDF VII.0 + mod-Wright,4.09E-03
87-72,U-238,ENDF VII.0 + mod-Wright,9.42E-01
87-72,Pu-238,ENDF VII.0 + mod-Wright,1.93E-04
87-72,Pu-239,ENDF VII.0 + mod-Wright,5.10E-03
87-72,Pu-240,ENDF VII.0 + mod-Wright,2.58E-03
87-72,Pu-241,ENDF VII.0 + mod-Wright,9.96E-04
87-72,Pu-242,ENDF VII.0 + mod-Wright,6.15E-04
87-72,Np-237,ENDF VII.0 + mod-Wright,4.50E-04
87-72,Am-241,ENDF VII.0 + mod-Wright,3.55E-04
87-72,Cs-133,ENDF VII.0 + mod-Wright,1.24E-03
87-72,Cs-134,ENDF VII.0 + mod-Wright,2.05E-05
87-72,Cs-135,ENDF VII.0 + mod-Wright,4.69E-04
87-72,Cs-137,ENDF VII.0 + mod-Wright,1.16E-03
87-72,Nd-143,ENDF VII.0 + mod-Wright,8.14E-04
87-72,Nd-144,ENDF VII.0 + mod-Wright,1.49E-03
87-72,Nd-145,ENDF VII.0 + mod-Wright,7.20E-04
87-72,Nd-146,ENDF VII.0 + mod-Wright,7.76E-04
87-72,Nd-148,ENDF VII.0 + mod-Wright,4.07E-04
87-72,Nd-150,ENDF VII.0 + mod-Wright,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Wright,2.82E-04
87-72,Sm-148,ENDF VII.0 + mod-Wright,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Wright,2.25E-06
87-72,Sm-150,ENDF VII.0 + mod-Wright,3.04E-04
87-72,Sm-151,ENDF VII.0 + mod-Wright,9.13E-06
87-72,Sm-152,ENDF VII.0 + mod-Wright,1.17E-04
87-72,Sm-154,ENDF VII.0 + mod-Wright,4.14E-05
87-72,Eu-151,ENDF VII.0 + mod-Wright,9.59E-07
87-72,Eu-152,ENDF VII.0 + mod-Wright,6.47E-09
87-72,Eu-153,ENDF VII.0 + mod-Wright,1.31E-04
87-72,Eu-154,ENDF VII.0 + mod-Wright,8.02E-06
87-72,Eu-155,ENDF VII.0 + mod-Wright,1.46E-06
87-72,Gd-154,ENDF VII.0 + mod-Wright,1.80E-05
87-72,Gd-155,ENDF VII.0 + mod-Wright,8.03E-06
87-72,Gd-156,ENDF VII.0 + mod-Wright,1.05E-04
87-72,Gd-158,ENDF VII.0 + mod-Wright,1.97E-05
87-72,Gd-160,ENDF VII.0 + mod-Wright,1.26E-06
87-72,Tc-99,ENDF VII.0 + mod-Wright,8.76E-04
87-72,Sr-90,ENDF VII.0 + mod-Wright,4.91E-04
87-72,U-234,ENDF VII.0 + mod-Mughabghab,1.57E-04
87-72,U-235,ENDF VII.0 + mod-Mughabghab,5.90E-03
87-72,U-236,ENDF VII.0 + mod-Mughabghab,4.09E-03
87-72,U-238,ENDF VII.0 + mod-Mughabghab,9.42E-01
87-72,Pu-238,ENDF VII.0 + mod-Mughabghab,1.93E-04
87-72,Pu-239,ENDF VII.0 + mod-Mughabghab,5.10E-03
87-72,Pu-240,ENDF VII.0 + mod-Mughabghab,2.58E-03
87-72,Pu-241,ENDF VII.0 + mod-Mughabghab,9.96E-04
87-72,Pu-242,ENDF VII.0 + mod-Mughabghab,6.15E-04
87-72,Np-237,ENDF VII.0 + mod-Mughabghab,4.50E-04
87-72,Am-241,ENDF VII.0 + mod-Mughabghab,3.55E-04
87-72,Cs-133,ENDF VII.0 + mod-Mughabghab,1.24E-03
