Sample,Isotope,Evaluation,g / g Uinit
87-81,Cs-137,ENDF VII.0,8.57E-04
87-81,Nd-143,ENDF VII.0,6.95E-04
87-81,Nd-144,ENDF VII.0,1.05E-03
87-81,Nd-145,ENDF VII.0,5.67E-04
87-81,Nd-146,ENDF VII.0,5.59E-04
87-81,Nd-148,ENDF VII.0,3.01E-04
87-81,Nd-150,ENDF VII.0,1.43E-04
87-81,Sm-147,ENDF VII.0,2.47E-04
87-81,Sm-148,ENDF VII.0,9.79E-05
87-81,Sm-149,ENDF VII.0,2.07E-06
87-81,Sm-150,ENDF VII.0,2.19E-04
87-81,Sm-151,ENDF VII.0,8.31E-06
87-81,Sm-152,ENDF VII.0,9.50E-05
87-81,Sm-154,ENDF VII.0,2.74E-05
87-81,Eu-151,ENDF VII.0,8.93E-07
87-81,Eu-152,ENDF VII.0,9.05E-09
87-81,Eu-153,ENDF VII.0,9.04E-05
87-81,Eu-154,ENDF VII.0,5.60E-06
87-81,Eu-155,ENDF VII.0,8.58E-07
